,,Lateral Raise,3,8 - 12,"1, 0-1, <0⚠️",,,Brachialis,3,3.5,6.5,
,,,,,,,,Brachioradial.,0,3.25,3.25,
,(2) Pull + NCP,Single-Arm Bent-Over Dumbbell Row,3,6 - 9,"3, 2, 0-1",,Back,Lats / teres major,20,0,20,25
,,Lat Pulldown (Standard Bar),4,8 - 11,"3, 2, 1, 0-1",,,Mid / Low Traps & Rhomboids,0,5,5,
,,Lat Pullovers (Cable; any attachment),3,12 - 15,"2, 0-1, <0⚠️",,,Upper Traps,0,0,0,
,,Ez-Bar Tricep Overhead Extension,3,6 - 9,"3, 2, 0-1",,Legs,Quads,20,0,20,76.5
,,Tricep Cable Pushdown (preferred attachment),3,10 - 12,"3, 2, 0-1",,,Hamstrings,12,7.5,19.5,
,,Tricep Cable Overhead Extension (preferred attachment),3,12 - 15,"2, 0-1, <0⚠️",,,Glute max,3,8.75,11.75,
,,,,,,,,Glute med/min,0,1.5,1.5,
,(3) Legs,Seated Hamstring Curls,4,8 - 10,"3, 2, 1, 0-1",,,Adductors,0,4.75,4.75,
,,RDL (Barbell or Dumbell),4,5 - 8,"3, 2, 1, 0-1",,,Gastroc.,10,0,10,
,,Leg Press,4,6 - 9,"3, 2, 1, 0-1",,,Soleus,0,5,5,
,,Dumbbell Heel-Elevated Squat,3,12 - 15,"2, 0-1, <0⚠️",,,Erector Spinae,0,4,4,
,,Leg Extension,3,10 - 12,"2, 1, 0-1",,,,,,,
,,Standing Calf Raise (Machine) ,5,12 - 15,"3, 2, 1, 0-1, <0⚠️",,,,,,,
,,Lateral Raise,3,8 - 12,"1, 0-1, <0⚠️",,,,,,,
,,,,,,,,,,,,
,(4) Active Rest,"Decision rule: if sleep was poor, you feel run-down, resting HR is up, or soreness is lingering, take passive rest (easy steps only, no planned cardio). Otherwise do 20–30 min very easy aerobic work at conversational pace (≈40–60% max HR) plus 5–10 min mobility. Nutrition: hit 1.6–2.2 g/kg protein, spread across the day; hydrate; optional 30–40 g protein before bed. Sleep: aim 7–9 h; dark, cool room; screens off the last hour. Recovery guardrails: no failure work, no HIIT, no “make-up” lifting.",,,,,,,,,,
,,,,,,,,,,,,
,(5) Upper,Wide-Grip Seated Cable Rows,4,8 - 10,"3, 2, 1, 0-1",,,,,,,
,,Lat Pullovers (Cable; any attachment),4,12 - 15,"3, 2, 0-1, <0⚠️",,,,,,,
,,Incline Dumbbell Press,4,6 - 9,"3, 2, 1, 0-1",,,,,,,
,,Machine Chest Flyes,3,10 -  12,"3, 2, 0-1",,,,,,,
,,Incline/Elevated Pushups,3,10 - 20,"1, 0-1, <0⚠️",,,,,,,
,,Incline Curls,4,8 - 12,"2, 1, 0-1, <0⚠️",,,,,,,
,,Tricep Cable Pushdown (preferred attachment),3,8 - 12,"2, 1, 0-1",,,,,,,
,,Tricep Cable Overhead Extension (preferred attachment),3,12 - 15,"2, 0-1, <0⚠️",,,,,,,
,,,,,,,,,,,,
,(6) Lower,Lying Hamstring Curls,4,8 - 12,"3, 2, 1, 0-1",,,,,,,
,,45° Hip Extension,4,10 - 15,"3, 2, 1, 0-1",,,,,,,
,,Hack Squat,4,5 - 8,"3, 2, 1, 0-1",,,,,,,
,,Leg Extension,3,10 - 12,"2, 0-1, <0⚠️",,,,,,,
,,Lunges,3,7 - 10,"3, 2, 0-1",,,,,,,
,,Standing Calf Raise (Machine) ,5,12 - 15,"3, 2, 1, 0-1, <0⚠️",,,,,,,
,,Lateral Raise,3,8 - 12,"1, 0-1, <0⚠️",,,,,,,
,,,,,,,,,,,,
,(7) Active Rest,"Decision rule: if sleep was poor, you feel run-down, resting HR is up, or soreness is lingering, take passive rest (easy steps only, no planned cardio). Otherwise do 20–30 min very easy aerobic work at conversational pace (≈40–60% max HR) plus 5–10 min mobility. Nutrition: hit 1.6–2.2 g/kg protein, spread across the day; hydrate; optional 30–40 g protein before bed. Sleep: aim 7–9 h; dark, cool room; screens off the last hour. Recovery guardrails: no failure work, no HIIT, no “make-up” lifting. Weekly check: if two or more red flags appear (performance dip, nagging joints, poor sleep), schedule a 1-week pivot next week (halve sets, keep loads similar), then resume normal training.",,,,,,,,,,
,,,,,,,,,,,,
,Updates,,,,,,,,,,,
,"v1.1.0 
- Introduced the Blank Fillout sheet version of the PANDR-5 model. See sheet selection at the bottom of the page.
- Introduced semantic versioning update numbering system (i.e. v#.#.#)
- Replaced sissy squats (previously D24) with Dumbbell Heel-Elevated Squat (now D23). Replaced due to not being able to conventiently load with weight for double progression scheme.
- Leg extensions (previously D23) moved to after Dumbbell Heel-Elevated Squat (now D23)

v1.1.1
- changed Lat Pullover (D15 & D31) rep range from 15 - 20 to 12 - 15
- changed Incline Pushups (D34) reps from 15 - 20 to 10 - 20",,,,,,,,,,,
