id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
source-17,Tricep Cable Pushdown (preferred attachment),Triceps pressdown | Rope pushdown | Cable push-down,Cable,Elbow extension,bilateral,external,"High pulley, upper arms at sides; attachment choice alone does not create another movement.",Triceps,Triceps,Triceps=1,Preserved source calibration. Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Triceps=medium,pandr-sheet | anatomy-upper | triceps,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-18,Tricep Cable Overhead Extension (preferred attachment),Overhead cable triceps extension | Rope overhead extension,Cable,Elbow extension,bilateral,external,"Cable behind torso, upper arms overhead; fixed upper-arm angle.",Triceps,Triceps,Triceps=1,Preserved source calibration. Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit. See legacy-review.md for conflicts between this rationale and retained credits.,high,Triceps=high,pandr-sheet | anatomy-upper | triceps,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-20,Seated Hamstring Curls,Seated leg curl,Machine,Knee flexion,bilateral,external,"Seated machine, hips flexed and thigh pad secure.",Hamstrings,Hamstrings,Hamstrings=1,Preserved source calibration. Resisted knee flexion directly trains hamstrings. Joint position affects regional loading; no unmeasured calf or adductor allocation is added. See legacy-review.md for conflicts between this rationale and retained credits.,high,Hamstrings=high,pandr-sheet | anatomy-lower | ham-curl,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-21,RDL (Barbell or Dumbell),Romanian deadlift | Barbell RDL | Dumbbell RDL | Dumbbell Romanian deadlift | Barbell Romanian deadlift,Barbell,Hip hinge,bilateral,external,"Source explicitly includes barbell or dumbbells; soft knees, neutral-spine hip hinge.",Hamstrings,Hamstrings | Glute max | Adductors | Erector Spinae,Hamstrings=1 | Glute max=0.5 | Adductors=0.25 | Erector Spinae=0.5,Preserved source calibration. Hip extension with slightly flexed knees lengthens and loads biarticular hamstrings; glute max and adductor magnus assist. Erector bracing is deliberately not counted. See legacy-review.md for conflicts between this rationale and retained credits.,low,Hamstrings=low | Glute max=low | Adductors=low | Erector Spinae=low,pandr-sheet | anatomy-lower | ham-curl | lumbar,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-22,Leg Press,45-degree sled leg press | Sled leg press,Machine,Squat / knee-dominant press,bilateral,external,"Legacy generic leg press; use supported 45-degree sled, moderate foot height, controlled depth for calibration.",Quads,Quads | Hamstrings | Glute max | Adductors,Quads=1 | Hamstrings=0.5 | Glute max=0.5 | Adductors=0.25,Preserved source calibration. Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited. See legacy-review.md for conflicts between this rationale and retained credits.,low,Quads=low | Hamstrings=low | Glute max=low | Adductors=low,pandr-sheet | anatomy-lower | squat | hip-thrust,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-23,Dumbbell Heel-Elevated Squat,Heels-elevated goblet squat | Cyclist goblet squat,Dumbbell,Squat / knee-dominant press,bilateral,external,"Dumbbell held near chest, stable heel wedge, upright torso.",Quads,Quads | Glute max,Quads=1 | Glute max=0.25,Preserved source calibration. Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Quads=medium | Glute max=medium,pandr-sheet | anatomy-lower | squat | hip-thrust,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-24,Leg Extension,Machine leg extension | Seated knee extension,Machine,Knee extension,bilateral,external,"Seated machine, knee aligned with pivot; bilateral knee extension.",Quads,Quads,Quads=1,Preserved source calibration. Resisted knee extension directly trains quadriceps; pelvic and ankle stabilization are not credited. See legacy-review.md for conflicts between this rationale and retained credits.,high,Quads=high,pandr-sheet | anatomy-lower,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-25,Standing Calf Raise (Machine),Standing machine calf raise,Machine,Straight-knee plantarflexion,bilateral,external,"Standing calf machine, near-straight knee and full controlled ankle ROM.",Gastroc.,Gastroc. | Soleus,Gastroc.=1 | Soleus=0.5,"Preserved source calibration. Plantarflexion with near-extended knee loads gastrocnemius and soleus; source-calibrated soleus half credit is conservative, not a proven ratio. See legacy-review.md for conflicts between this rationale and retained credits.",medium,Gastroc.=medium | Soleus=medium,pandr-sheet | anatomy-lower | calf,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-30,Wide-Grip Seated Cable Rows,Wide seated cable row,Cable,Horizontal pull — flared elbows,bilateral,external,Seated wide cable handle; elbow path materially affects lat/retractor emphasis.,Lats / teres major,Rear Delts | Biceps (Brachii) | Lats / teres major | Mid / Low Traps & Rhomboids,Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5,Preserved source calibration. Flared elbows and deliberate scapular retraction emphasize upper-back retractors; posterior shoulder and elbow flexors assist. Lats receive only minor credit in this path. See legacy-review.md for conflicts between this rationale and retained credits.,low,Rear Delts=low | Biceps (Brachii)=low | Lats / teres major=low | Mid / Low Traps & Rhomboids=low,pandr-sheet | anatomy-upper,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-34,Incline/Elevated Pushups,Hands-elevated push-up | Incline push-up | Elevated press-up,Bodyweight,Horizontal press,bilateral,bodyweight/weighted/assisted,"Hands on elevated stable surface, feet on floor; source means hands-elevated.",Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Preserved source calibration. Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,pandr-sheet | anatomy-upper | press,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-35,Incline Curls,Incline dumbbell curl | Incline DB curl,Dumbbell,Supinated elbow flexion,bilateral,external,"Reclined dumbbell curl, supinated forearm, arm behind trunk line.",Biceps (Brachii),Biceps (Brachii) | Brachialis | Brachioradial.,Biceps (Brachii)=1 | Brachialis=0.5 | Brachioradial.=0.25,"Preserved source calibration. Supinated elbow flexion directly targets biceps; brachialis remains an elbow flexor and brachioradialis earns minor supporting credit, calibrated to source curls. See legacy-review.md for conflicts between this rationale and retained credits.",medium,Biceps (Brachii)=medium | Brachialis=medium | Brachioradial.=medium,pandr-sheet | anatomy-upper | elbow,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-39,Lying Hamstring Curls,Prone leg curl | Lying leg curl,Machine,Knee flexion,bilateral,external,"Prone machine, hips supported while knees flex.",Hamstrings,Hamstrings,Hamstrings=1,Preserved source calibration. Resisted knee flexion directly trains hamstrings. Joint position affects regional loading; no unmeasured calf or adductor allocation is added. See legacy-review.md for conflicts between this rationale and retained credits.,high,Hamstrings=high,pandr-sheet | anatomy-lower | ham-curl,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-40,45° Hip Extension,45-degree back extension | Roman-chair hip extension,Other,Hip hinge,bilateral,bodyweight/weighted/assisted,"45-degree Roman chair, hinge hips; source does not specify spinal motion.",Hamstrings,Hamstrings | Glute max | Adductors | Erector Spinae,Hamstrings=0.5 | Glute max=0.5 | Adductors=0.25 | Erector Spinae=0.5,Preserved source calibration. Hip extension with slightly flexed knees lengthens and loads biarticular hamstrings; glute max and adductor magnus assist. Erector bracing is deliberately not counted. See legacy-review.md for conflicts between this rationale and retained credits.,low,Hamstrings=low | Glute max=low | Adductors=low | Erector Spinae=low,pandr-sheet | anatomy-lower | ham-curl | lumbar,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-41,Hack Squat,Hack squat machine | Sled hack squat,Machine,Squat / knee-dominant press,bilateral,external,"Back-supported inclined sled squat, controlled hip/knee flexion.",Quads,Quads | Hamstrings | Glute max | Adductors,Quads=1 | Hamstrings=0.5 | Glute max=0.5 | Adductors=0.25,Preserved source calibration. Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited. See legacy-review.md for conflicts between this rationale and retained credits.,low,Quads=low | Hamstrings=low | Glute max=low | Adductors=low,pandr-sheet | anatomy-lower | squat | hip-thrust,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-43,Lunges,Forward lunge,Other,Unilateral squat / lunge,unilateral,external,Generic source lunge; assume moderate forward step. Direction/load unspecified.,Quads,Quads | Hamstrings | Glute max | Glute med/min | Adductors,Quads=1 | Hamstrings=0.5 | Glute max=1 | Glute med/min=0.5 | Adductors=0.25,Preserved source calibration. Working-leg knee and hip extension load quads with glute/adductor assistance. Balance demand does not automatically earn glute med/min credit. See legacy-review.md for conflicts between this rationale and retained credits.,low,Quads=low | Hamstrings=low | Glute max=low | Glute med/min=low | Adductors=low,pandr-sheet | anatomy-lower | squat,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume.
p5-dumbbell-flat-bench-press,Dumbbell Flat Bench Press,Flat DB press | DB Flat Bench Press,Dumbbell,Horizontal press,bilateral,external,"Flat bench, moderate elbow flare, lower to a comfortable chest stretch.",Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-dumbbell-floor-press,Dumbbell Floor Press,DB Floor Press,Dumbbell,Horizontal press,bilateral,external,"Lie on floor; upper arms stop at floor, limiting shoulder extension.",Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-dumbbell-bench-press,Single-Arm Dumbbell Bench Press,Single-Arm DB Bench Press,Dumbbell,Horizontal press,unilateral,external,"Flat bench, one arm presses while torso stays level.",Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-barbell-decline-bench-press,Barbell Decline Bench Press,BB Decline Bench Press,Barbell,Horizontal press,bilateral,external,Modest decline bench with secured legs; bar descends to lower chest.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-barbell-floor-press,Barbell Floor Press,BB Floor Press,Barbell,Horizontal press,bilateral,external,Upper arms stop on floor; reset without bouncing.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-barbell-incline-bench-press,Barbell Incline Bench Press,Incline barbell press | BB Incline Bench Press,Barbell,Incline press,bilateral,external,Bench approximately 15–30 degrees; controlled descent to upper chest.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,"Low-incline pressing retains chest as the target with shoulder-flexor and elbow-extensor assistance. Bench angle distinguishes loading, not a new muscle group.",medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | incline,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-smith-flat-bench-press,Smith Flat Bench Press,,Smith machine,Horizontal press,bilateral,external,Flat bench positioned so fixed bar path meets mid chest.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Machine lever arms, cable routing, cams and seat settings vary; match the described joint path rather than a product label."
p5-smith-decline-bench-press,Smith Decline Bench Press,,Smith machine,Horizontal press,bilateral,external,Decline bench secured under fixed bar path.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Machine lever arms, cable routing, cams and seat settings vary; match the described joint path rather than a product label."
p5-smith-incline-bench-press,Smith Incline Bench Press,,Smith machine,Incline press,bilateral,external,Low incline 15–30 degrees; bench aligned with fixed path.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,"Low-incline pressing retains chest as the target with shoulder-flexor and elbow-extensor assistance. Bench angle distinguishes loading, not a new muscle group.",medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | incline,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Machine lever arms, cable routing, cams and seat settings vary; match the described joint path rather than a product label."
p5-seated-fixed-path-chest-press,Seated Fixed-Path Chest Press,Chest press machine,Selectorized machine,Horizontal press,bilateral,external,Back supported; linked handles follow a roughly horizontal press path.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-converging-chest-press,Converging Chest Press,Iso-lateral chest press,Plate-loaded machine,Horizontal press,bilateral,external,Independent lever arms converge toward midline; flat pressing angle.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-incline-converging-chest-press,Incline Converging Chest Press,,Plate-loaded machine,Incline press,bilateral,external,Independent handles converge along an upward press path; seat sets low-incline angle.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,"Low-incline pressing retains chest as the target with shoulder-flexor and elbow-extensor assistance. Bench angle distinguishes loading, not a new muscle group.",medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | incline,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-standing-cable-chest-press,Standing Cable Chest Press,,Cable,Horizontal press,bilateral,external,"Split stance, handles at chest height; resist torso sway.",Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-supine-cable-bench-press,Supine Cable Bench Press,,Cable,Horizontal press,bilateral,external,Flat bench between low pulleys; cables provide outward resistance throughout press.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-chest-press,Band Chest Press,,Resistance band,Horizontal press,bilateral,external,Anchor behind at chest height; step forward to maintain tension through ROM.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-swiss-bar-bench-press,Swiss-Bar Bench Press,Football-bar bench press,Specialty bar,Horizontal press,bilateral,external,Flat bench with multi-grip neutral handles; elbows moderately tucked.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cambered-bar-bench-press,Cambered-Bar Bench Press,Buffalo-style cambered bench press,Specialty bar,Horizontal press,bilateral,external,Camber permits deeper shoulder extension; use only controlled comfortable depth.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
